fonte,codigo,item,descricao,unidade,quantidade_base,custo_unitario_sem_bdi,bdi,preco_unitario_com_bdi,preco_total,ativo,pagina_pdf
C SINAPI,101509,125,"Entrada De Energia Elétrica, Aérea, Trifásica, Com Caixa De Embutir, Cabo De 10 Mm2 E Disjuntor Din 50A (Não Incluso O Poste De Concreto). Af_07/2020",UN,1.0,2025.33,26.93,2570.75,2570.75,Sim,10
C SINAPI,101510,126,"Entrada De Energia Elétrica, Aérea, Trifásica, Com Caixa De Embutir, Cabo De 16 Mm2 E Disjuntor Din 50A (Não Incluso O Poste De Concreto). Af_07/2020",UN,1.0,2242.98,26.93,2847.01,2847.01,Sim,10
C SINAPI,101511,127,"Entrada De Energia Elétrica, Aérea, Trifásica, Com Caixa De Embutir, Cabo De 25 Mm2 E Disjuntor Din 50A (Não Incluso O Poste De Concreto). Af_07/2020",UN,1.0,2281.5,26.93,2895.9,2895.9,Sim,11
C SINAPI,101512,128,"Entrada De Energia Elétrica, Aérea, Trifásica, Com Caixa De Embutir, Cabo De 35 Mm2 E Disjuntor Din 50A (Não Incluso O Poste De Concreto). Af_07/2020",UN,1.0,2563.08,26.93,3253.31,3253.31,Sim,11
C SINAPI,101505,129,"Entrada De Energia Elétrica, Aérea, Trifásica, Com Caixa De Sobrepor, Cabo De 10 Mm2 E Disjuntor Din 50A (Não Incluso O Poste De Concreto). Af_07/2020_Ps",UN,1.0,2102.12,26.93,2668.22,2668.22,Sim,11
C SINAPI,101506,130,"Entrada De Energia Elétrica, Aérea, Trifásica, Com Caixa De Sobrepor, Cabo De 16 Mm2 E Disjuntor Din 50A (Não Incluso O Poste De Concreto). Af_07/2020_Ps",UN,1.0,2319.77,26.93,2944.48,2944.48,Sim,11
C SINAPI,101507,131,"Entrada De Energia Elétrica, Aérea, Trifásica, Com Caixa De Sobrepor, Cabo De 25 Mm2 E Disjuntor Din 50A (Não Incluso O Poste De Concreto). Af_07/2020_Ps",UN,1.0,2358.29,26.93,2993.37,2993.37,Sim,11
C SINAPI,101508,132,"Entrada De Energia Elétrica, Aérea, Trifásica, Com Caixa De Sobrepor, Cabo De 35 Mm2 E Disjuntor Din 50A (Não Incluso O Poste De Concreto). Af_07/2020_Ps",UN,1.0,2639.87,26.93,3350.78,3350.78,Sim,11
C SINAPI,101525,133,"Entrada De Energia Elétrica, Subterrânea, Bifásica, Com Caixa De Embutir, Cabo De 10 Mm2 E Disjuntor Din 50A (Não Inclusa Mureta De Alvenaria). Af_07/2020_Ps",UN,1.0,1195.28,26.93,1517.17,1517.17,Sim,11
C SINAPI,101526,134,"Entrada De Energia Elétrica, Subterrânea, Bifásica, Com Caixa De Embutir, Cabo De 16 Mm2 E Disjuntor Din 50A (Não Inclusa Mureta De Alvenaria). Af_07/2020_Ps",UN,1.0,1389.4,26.93,1763.56,1763.56,Sim,11
C SINAPI,101527,135,"Entrada De Energia Elétrica, Subterrânea, Bifásica, Com Caixa De Embutir, Cabo De 25 Mm2 E Disjuntor Din 50A (Não Inclusa Mureta De Alvenaria). Af_07/2020_Ps",UN,1.0,1423.76,26.93,1807.17,1807.17,Sim,11
C SINAPI,101528,136,"Entrada De Energia Elétrica, Subterrânea, Bifásica, Com Caixa De Embutir, Cabo De 35 Mm2 E Disjuntor Din 50A (Não Inclusa Mureta De Alvenaria). Af_07/2020_Ps",UN,1.0,1638.49,26.93,2079.73,2079.73,Sim,12
C SINAPI,101521,137,"Entrada De Energia Elétrica, Subterrânea, Bifásica, Com Caixa De Sobrepor, Cabo De 10 Mm2 E Disjuntor Din 50A (Não Inclusa Mureta De Alvenaria). Af_07/2020_Ps",UN,1.0,1207.53,26.93,1532.71,1532.71,Sim,12
C SINAPI,101522,138,"Entrada De Energia Elétrica, Subterrânea, Bifásica, Com Caixa De Sobrepor, Cabo De 16 Mm2 E Disjuntor Din 50A (Não Inclusa Mureta De Alvenaria). Af_07/2020_Ps",UN,1.0,1401.64,26.93,1779.1,1779.1,Sim,12
C SINAPI,101523,139,"Entrada De Energia Elétrica, Subterrânea, Bifásica, Com Caixa De Sobrepor, Cabo De 25 Mm2 E Disjuntor Din 50A (Não Inclusa Mureta De Alvenaria). Af_07/2020_Ps",UN,1.0,1436.0,26.93,1822.71,1822.71,Sim,12
C SINAPI,101524,140,"Entrada De Energia Elétrica, Subterrânea, Bifásica, Com Caixa De Sobrepor, Cabo De 35 Mm2 E Disjuntor Din 50A (Não Inclusa Mureta De Alvenaria). Af_07/2020_Ps",UN,1.0,1650.73,26.93,2095.27,2095.27,Sim,12
C SINAPI,101517,141,"Entrada De Energia Elétrica, Subterrânea, Monofásica, Com Caixa De Embutir, Cabo De 10 Mm2 E Disjuntor Din 50A (Não Inclusa Mureta De Alvenaria). Af_07/2020_Ps",UN,1.0,854.91,26.93,1085.13,1085.13,Sim,12
C SINAPI,101518,142,"Entrada De Energia Elétrica, Subterrânea, Monofásica, Com Caixa De Embutir, Cabo De 16 Mm2 E Disjuntor Din 50A (Não Inclusa Mureta De Alvenaria). Af_07/2020_Ps",UN,1.0,984.32,26.93,1249.39,1249.39,Sim,12
C SINAPI,101519,143,"Entrada De Energia Elétrica, Subterrânea, Monofásica, Com Caixa De Embutir, Cabo De 25 Mm2 E Disjuntor Din 50A (Não Inclusa Mureta De Alvenaria). Af_07/2020_Ps",UN,1.0,1007.22,26.93,1278.46,1278.46,Sim,12
C SINAPI,101520,144,"Entrada De Energia Elétrica, Subterrânea, Monofásica, Com Caixa De Embutir, Cabo De 35 Mm2 E Disjuntor Din 50A (Não Inclusa Mureta De Alvenaria). Af_07/2020_Ps",UN,1.0,1150.37,26.93,1460.17,1460.17,Sim,12
C SINAPI,101513,145,"Entrada De Energia Elétrica, Subterrânea, Monofásica, Com Caixa De Sobrepor, Cabo De 10 Mm2 E Disjuntor Din 50A (Não Inclusa Mureta De Alvenaria). Af_07/2020_Ps",UN,1.0,875.87,26.93,1111.74,1111.74,Sim,13
C SINAPI,101514,146,"Entrada De Energia Elétrica, Subterrânea, Monofásica, Com Caixa De Sobrepor, Cabo De 16 Mm2 E Disjuntor Din 50A (Não Inclusa Mureta De Alvenaria). Af_07/2020_Ps",UN,1.0,1005.28,26.93,1275.99,1275.99,Sim,13
C SINAPI,101515,147,"Entrada De Energia Elétrica, Subterrânea, Monofásica, Com Caixa De Sobrepor, Cabo De 25 Mm2 E Disjuntor Din 50A (Não Inclusa Mureta De Alvenaria). Af_07/2020_Ps",UN,1.0,1028.18,26.93,1305.06,1305.06,Sim,13
C SINAPI,101516,148,"Entrada De Energia Elétrica, Subterrânea, Monofásica, Com Caixa De Sobrepor, Cabo De 35 Mm2 E Disjuntor Din 50A (Não Inclusa Mureta De Alvenaria). Af_07/2020_Ps",UN,1.0,1171.34,26.93,1486.77,1486.77,Sim,13
C SINAPI,101533,149,"Entrada De Energia Elétrica, Subterrânea, Trifásica, Com Caixa De Embutir, Cabo De 10 Mm2 E Disjuntor Din 50A (Não Inclusa Mureta De Alvenaria). Af_07/2020",UN,1.0,1272.44,26.93,1615.1,1615.1,Sim,13
C SINAPI,101534,150,"Entrada De Energia Elétrica, Subterrânea, Trifásica, Com Caixa De Embutir, Cabo De 16 Mm2 E Disjuntor Din 50A (Não Inclusa Mureta De Alvenaria). Af_07/2020",UN,1.0,1531.26,26.93,1943.62,1943.62,Sim,13
C SINAPI,101535,151,"Entrada De Energia Elétrica, Subterrânea, Trifásica, Com Caixa De Embutir, Cabo De 25 Mm2 E Disjuntor Din 50A (Não Inclusa Mureta De Alvenaria). Af_07/2020",UN,1.0,1577.07,26.93,2001.77,2001.77,Sim,13
C SINAPI,101536,152,"Entrada De Energia Elétrica, Subterrânea, Trifásica, Com Caixa De Embutir, Cabo De 35 Mm2 E Disjuntor Din 50A (Não Inclusa Mureta De Alvenaria). Af_07/2020",UN,1.0,1863.38,26.93,2365.18,2365.18,Sim,13
C SINAPI,101529,153,"Entrada De Energia Elétrica, Subterrânea, Trifásica, Com Caixa De Sobrepor, Cabo De 10 Mm2 E Disjuntor Din 50A (Não Inclusa Mureta De Alvenaria). Af_07/2020_Ps",UN,1.0,1349.23,26.93,1712.57,1712.57,Sim,13
C SINAPI,101530,154,"Entrada De Energia Elétrica, Subterrânea, Trifásica, Com Caixa De Sobrepor, Cabo De 16 Mm2 E Disjuntor Din 50A (Não Inclusa Mureta De Alvenaria). Af_07/2020_Ps",UN,1.0,1608.06,26.93,2041.1,2041.1,Sim,14
C SINAPI,101531,155,"Entrada De Energia Elétrica, Subterrânea, Trifásica, Com Caixa De Sobrepor, Cabo De 25 Mm2 E Disjuntor Din 50A (Não Inclusa Mureta De Alvenaria). Af_07/2020_Ps",UN,1.0,1653.86,26.93,2099.24,2099.24,Sim,14
C SINAPI,101532,156,"Entrada De Energia Elétrica, Subterrânea, Trifásica, Com Caixa De Sobrepor, Cabo De 35 Mm2 E Disjuntor Din 50A (Não Inclusa Mureta De Alvenaria). Af_07/2020_Ps",UN,1.0,1940.17,26.93,2462.66,2462.66,Sim,14
C SINAPI,94783,157,"Adaptador Com Flange E Anel De Vedação, Pvc, Soldável, Dn 20 Mm X 1/2"", Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,19.19,26.93,24.36,24.36,Sim,14
C SINAPI,94703,158,"Adaptador Com Flange E Anel De Vedação, Pvc, Soldável, Dn 25 Mm X 3/4"", Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,20.45,26.93,25.95,25.95,Sim,14
C SINAPI,94704,159,"Adaptador Com Flange E Anel De Vedação, Pvc, Soldável, Dn 32 Mm X 1"", Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,26.63,26.93,33.8,33.8,Sim,14
C SINAPI,94705,160,"Adaptador Com Flange E Anel De Vedação, Pvc, Soldável, Dn 40 Mm X 1 1/4"", Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,35.63,26.93,45.23,45.23,Sim,14
C SINAPI,94706,161,"Adaptador Com Flange E Anel De Vedação, Pvc, Soldável, Dn 50 Mm X 1 1/2"", Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,35.07,26.93,44.51,44.51,Sim,14
C SINAPI,94707,162,"Adaptador Com Flange E Anel De Vedação, Pvc, Soldável, Dn 60 Mm X 2"", Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,54.04,26.93,68.58,68.58,Sim,14
C SINAPI,94715,163,"Adaptador Com Flanges Livres, Pvc, Soldável, Dn 110 Mm X 4"", Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,271.2,26.93,344.23,344.23,Sim,14
C SINAPI,94713,164,"Adaptador Com Flanges Livres, Pvc, Soldável, Dn 75 Mm X 2 1/2"", Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,217.63,26.93,276.24,276.24,Sim,15
C SINAPI,94714,165,"Adaptador Com Flanges Livres, Pvc, Soldável, Dn 85 Mm X 3"", Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,303.76,26.93,385.56,385.56,Sim,15
C SINAPI,94670,166,"Adaptador Curto Com Bolsa E Rosca Para Registro, Pvc, Soldável, Dn 110 Mm X 4"", Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,69.26,26.93,87.9,87.9,Sim,15
C SINAPI,94656,167,"Adaptador Curto Com Bolsa E Rosca Para Registro, Pvc, Soldável, Dn 25 Mm X 3/4"", Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,3.91,26.93,4.96,4.96,Sim,15
C SINAPI,94658,168,"Adaptador Curto Com Bolsa E Rosca Para Registro, Pvc, Soldável, Dn 32 Mm X 1"", Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,5.73,26.93,7.27,7.27,Sim,15
C SINAPI,94660,169,"Adaptador Curto Com Bolsa E Rosca Para Registro, Pvc, Soldável, Dn 40 Mm X 1 1/4"", Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,8.83,26.93,11.2,11.2,Sim,15
C SINAPI,94662,170,"Adaptador Curto Com Bolsa E Rosca Para Registro, Pvc, Soldável, Dn 50 Mm X 1 1/2"", Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,11.71,26.93,14.86,14.86,Sim,15
C SINAPI,94664,171,"Adaptador Curto Com Bolsa E Rosca Para Registro, Pvc, Soldável, Dn 60 Mm X 2"", Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,20.53,26.93,26.05,26.05,Sim,15
C SINAPI,94666,172,"Adaptador Curto Com Bolsa E Rosca Para Registro, Pvc, Soldável, Dn 75 Mm X 2 1/2"", Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,33.01,26.93,41.89,41.89,Sim,15
C SINAPI,94668,173,"Adaptador Curto Com Bolsa E Rosca Para Registro, Pvc, Soldável, Dn 85 Mm X 3"", Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,43.6,26.93,55.34,55.34,Sim,15
C SINAPI,105233,174,"Bucha De Redução Pvc, Soldável, Longa, Dn 40 X 25 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,8.31,26.93,10.54,10.54,Sim,16
C SINAPI,105234,175,"Bucha De Redução Pvc, Soldável, Longa, Dn 50 X 25 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,10.21,26.93,12.95,12.95,Sim,16
C SINAPI,105228,176,"Bucha De Redução Pvc, Soldável, Longa, Dn 50 X 32 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,12.16,26.93,15.43,15.43,Sim,16
C SINAPI,105138,177,"Bucha De Redução Pvc, Soldável, Longa, Dn 60 X 25 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,17.22,26.93,21.86,21.86,Sim,16
C SINAPI,105139,178,"Bucha De Redução Pvc, Soldável, Longa, Dn 60 X 32 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,20.07,26.93,25.47,25.47,Sim,16
C SINAPI,105140,179,"Bucha De Redução Pvc, Soldável, Longa, Dn 60 X 50 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,25.75,26.93,32.68,32.68,Sim,16
C SINAPI,105141,180,"Bucha De Redução Pvc, Soldável, Longa, Dn 75 X 50 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,30.84,26.93,39.14,39.14,Sim,16
C SINAPI,94687,181,"Curva 90 Graus, Pvc, Soldável, Dn 110 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,215.54,26.93,273.58,273.58,Sim,16
C SINAPI,94673,182,"Curva 90 Graus, Pvc, Soldável, Dn 25 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,7.6,26.93,9.64,9.64,Sim,16
C SINAPI,94675,183,"Curva 90 Graus, Pvc, Soldável, Dn 32 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,12.33,26.93,15.64,15.64,Sim,16
C SINAPI,94677,184,"Curva 90 Graus, Pvc, Soldável, Dn 40 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,19.51,26.93,24.76,24.76,Sim,16
C SINAPI,94679,185,"Curva 90 Graus, Pvc, Soldável, Dn 50 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,23.99,26.93,30.45,30.45,Sim,16
C SINAPI,94681,186,"Curva 90 Graus, Pvc, Soldável, Dn 60 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,47.53,26.93,60.32,60.32,Sim,16
C SINAPI,94683,187,"Curva 90 Graus, Pvc, Soldável, Dn 75 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,72.1,26.93,91.52,91.52,Sim,16
C SINAPI,94685,188,"Curva 90 Graus, Pvc, Soldável, Dn 85 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,91.68,26.93,116.37,116.37,Sim,17
C SINAPI,105154,189,"Curva Pvc 45 Graus, Soldável, Dn 25 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,7.11,26.93,9.02,9.02,Sim,17
C SINAPI,105155,190,"Curva Pvc 45 Graus, Soldável, Dn 32 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,10.48,26.93,13.3,13.3,Sim,17
C SINAPI,105156,191,"Curva Pvc 45 Graus, Soldável, Dn 40 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,13.4,26.93,17.01,17.01,Sim,17
C SINAPI,105157,192,"Curva Pvc 45 Graus, Soldável, Dn 50 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,20.51,26.93,26.03,26.03,Sim,17
C SINAPI,105158,193,"Curva Pvc 45 Graus, Soldável, Dn 60 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,29.86,26.93,37.9,37.9,Sim,17
C SINAPI,105159,194,"Curva Pvc 45 Graus, Soldável, Dn 75 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,52.34,26.93,66.42,66.42,Sim,17
C SINAPI,105160,195,"Curva Pvc 45 Graus, Soldável, Dn 85 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,64.63,26.93,82.03,82.03,Sim,17
C SINAPI,94672,196,"Joelho 90 Graus Com Bucha De Latão, Pvc, Soldável, Dn 25 Mm X 3/4"", Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,6.56,26.93,8.32,8.32,Sim,17
C SINAPI,94686,197,"Joelho 90 Graus, Pvc, Soldável, Dn 110 Mm Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,236.99,26.93,300.81,300.81,Sim,17
C SINAPI,94674,198,"Joelho 90 Graus, Pvc, Soldável, Dn 32 Mm Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,8.6,26.93,10.91,10.91,Sim,17
C SINAPI,94676,199,"Joelho 90 Graus, Pvc, Soldável, Dn 40 Mm Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,13.86,26.93,17.59,17.59,Sim,17
C SINAPI,94678,200,"Joelho 90 Graus, Pvc, Soldável, Dn 50 Mm Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,16.55,26.93,21.0,21.0,Sim,17
C SINAPI,94680,201,"Joelho 90 Graus, Pvc, Soldável, Dn 60 Mm Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,42.78,26.93,54.3,54.3,Sim,17
C SINAPI,94682,202,"Joelho 90 Graus, Pvc, Soldável, Dn 75 Mm Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,102.6,26.93,130.23,130.23,Sim,18
C SINAPI,94684,203,"Joelho 90 Graus, Pvc, Soldável, Dn 85 Mm Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,124.01,26.93,157.41,157.41,Sim,18
C SINAPI,105170,204,"Joelho Pvc, Soldável, 45 Graus, Dn 25 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,6.24,26.93,7.91,7.91,Sim,18
C SINAPI,105179,205,"Joelho Pvc, Soldável, 45 Graus, Dn 32 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,10.18,26.93,12.92,12.92,Sim,18
C SINAPI,105180,206,"Joelho Pvc, Soldável, 45 Graus, Dn 40 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,13.91,26.93,17.65,17.65,Sim,18
C SINAPI,105181,207,"Joelho Pvc, Soldável, 45 Graus, Dn 50 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,18.85,26.93,23.92,23.92,Sim,18
C SINAPI,105182,208,"Joelho Pvc, Soldável, 45 Graus, Dn 60 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,41.17,26.93,52.25,52.25,Sim,18
C SINAPI,105183,209,"Joelho Pvc, Soldável, 45 Graus, Dn 75 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,83.99,26.93,106.6,106.6,Sim,18
C SINAPI,105184,210,"Joelho Pvc, Soldável, 45 Graus, Dn 85 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,104.08,26.93,132.1,132.1,Sim,18
C SINAPI,105142,211,"Luva De Redução Soldável, Pvc, Dn 32 Mm X 25 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,7.06,26.93,8.96,8.96,Sim,18
C SINAPI,105143,212,"Luva De Redução Soldável, Pvc, Dn 40 Mm X 32 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,10.42,26.93,13.22,13.22,Sim,18
C SINAPI,105144,213,"Luva De Redução Soldável, Pvc, Dn 60 Mm X 50 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,21.81,26.93,27.68,27.68,Sim,18
C SINAPI,105173,214,"Luva De Redução, Em Ferro Galvanizado, Conexão Rosqueada, Dn 65 Mm X 50 Mm (2 1/2"" X 2""), Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,91.05,26.93,115.57,115.57,Sim,18
C SINAPI,105175,215,"Luva De Redução, Em Ferro Galvanizado, Conexão Rosqueada, Dn 80 Mm X 50 Mm (3"" X 2""), Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,129.22,26.93,164.01,164.01,Sim,19
C SINAPI,105174,216,"Luva De Redução, Em Ferro Galvanizado, Conexão Rosqueada, Dn 80 Mm X 65 Mm (3"" X 2 1/2""), Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,130.97,26.93,166.24,166.24,Sim,19
C SINAPI,105145,217,"Luva De Redução, Soldável, Pvc, Dn 50 X 25 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,12.04,26.93,15.27,15.27,Sim,19
C SINAPI,94657,218,"Luva Pvc, Soldável, Dn 25 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,4.37,26.93,5.55,5.55,Sim,19
C SINAPI,94659,219,"Luva Pvc, Soldável, Dn 32 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,6.61,26.93,8.38,8.38,Sim,19
C SINAPI,94671,220,"Luva, Pvc, Soldável, Dn 110 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,102.82,26.93,130.5,130.5,Sim,19
C SINAPI,94661,221,"Luva, Pvc, Soldável, Dn 40 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,10.21,26.93,12.96,12.96,Sim,19
C SINAPI,94663,222,"Luva, Pvc, Soldável, Dn 50 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,13.0,26.93,16.5,16.5,Sim,19
C SINAPI,94665,223,"Luva, Pvc, Soldável, Dn 60 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,24.39,26.93,30.95,30.95,Sim,19
C SINAPI,94667,224,"Luva, Pvc, Soldável, Dn 75 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,35.89,26.93,45.55,45.55,Sim,19
C SINAPI,94669,225,"Luva, Pvc, Soldável, Dn 85 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,62.88,26.93,79.8,79.8,Sim,19
C SINAPI,105189,226,"Te De Redução, Pvc, Soldável, 90 Graus, Dn 50 Mm X 25 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,22.56,26.93,28.64,28.64,Sim,19
C SINAPI,105190,227,"Te De Redução, Pvc, Soldável, 90 Graus, Dn 50 Mm X 32 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,27.55,26.93,34.96,34.96,Sim,19
C SINAPI,94702,228,"Tê De Redução, Pvc, Soldável, Dn 110 Mm X 60 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,180.87,26.93,229.57,229.57,Sim,20
C SINAPI,94691,229,"Tê De Redução, Pvc, Soldável, Dn 32 Mm X 25 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,14.14,26.93,17.94,17.94,Sim,20
C SINAPI,94693,230,"Tê De Redução, Pvc, Soldável, Dn 40 Mm X 32 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,18.55,26.93,23.54,23.54,Sim,20
C SINAPI,94695,231,"Tê De Redução, Pvc, Soldável, Dn 50 Mm X 40 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,31.51,26.93,39.99,39.99,Sim,20
C SINAPI,94698,232,"Tê De Redução, Pvc, Soldável, Dn 75 Mm X 50 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,66.6,26.93,84.53,84.53,Sim,20
C SINAPI,94700,233,"Tê De Redução, Pvc, Soldável, Dn 85 Mm X 60 Mm, Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,125.56,26.93,159.37,159.37,Sim,20
C SINAPI,94701,234,"Tê, Pvc, Soldável, Dn 110 Mm Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,217.85,26.93,276.51,276.51,Sim,20
C SINAPI,94688,235,"Tê, Pvc, Soldável, Dn 25 Mm Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,7.74,26.93,9.82,9.82,Sim,20
C SINAPI,94690,236,"Tê, Pvc, Soldável, Dn 32 Mm Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,12.25,26.93,15.54,15.54,Sim,20
C SINAPI,94692,237,"Tê, Pvc, Soldável, Dn 40 Mm Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,20.07,26.93,25.47,25.47,Sim,20
C SINAPI,94694,238,"Tê, Pvc, Soldável, Dn 50 Mm Instalado Em Reservação Predial De Água - Fornecimento E Instalação. Af_04/2024",UN,1.0,25.34,26.93,32.15,32.15,Sim,20
